DsId;Orginaldatei;Datei;Start;End;Length;Duration;Size;Translated0;OriginalText;Action
abu1;al0001.mp3;al0001.mp3;0;294720;307;9.209999999999996;147540;die antwort auf die große frage nach dem leben dem universum und allem lautet zweiundvierzig;das wird die nadel aus der rille reißen;train
abu1;al0003.mp3;al0003.mp3;0;115200;120;3.599999999999991;57679;vielleicht liebt er an dir das ungebrochene auge und den blick der ewigkeit;vielleicht liebt er an dir das ungebrochene auge und den blick der ewigkeit;train
abu1;al0004.mp3;al0004.mp3;0;76800;80;2.399999999999999;38453;ich lehre euch den übermenschen;ich lehre euch den übermenschen;train
abu1;al0005.mp3;al0005.mp3;0;121920;127;3.80999999999999;61440;denn es war verheißen worden dass man einen seidhändser sehen sollte;denn es war verheißen worden das man einen seiltänzer sehen sollte;train
abu1;al0006.mp3;al0006.mp3;0;76800;80;2.399999999999999;38453;ein gelächter oder eine schmerzliche scham;ein gelächter oder eine schmerzliche scham;train
abu1;al0007.mp3;al0007.mp3;0;67200;70;2.100000000000001;33855;su wirdest eine feinheit und süße haben;so wird es seine feinheit und süße haben;train
abu1;al0008.mp3;al0008.mp3;0;142080;148;4.439999999999992;71054;bis du reine luft und einsamkeit und brot und als nei deine freunde;bist du reine luft und einsamkeit und brot und arznei deinem freunde;train
abu1;al0009.mp3;al0009.mp3;0;154560;161;4.829999999999996;77323;bist du nicht selber der sarg voll bunter bosheiten und engelsfratzen des lebens;bist du nicht selber der sarg voll bunter bosheiten und engelsfrazen des lebens;train
abu1;al0010.mp3;al0010.mp3;0;90240;94;2.8199999999999963;45140;also sprach zaratustra;also sprach zarathustra;train
abu1;al0013.mp3;al0013.mp3;0;233280;243;7.290000000000016;117029;hinab jinabaun aus ost auf der rinde des schinabaums kann man tienin gewinnen das w schützuntezid;chinachinabaum aus der rinde des chinabaums kann man chinin gewinnen das wirkt schitzontozid;train
abu1;al0014.mp3;al0014.mp3;0;73920;77;2.31;37199;nicht die zeit sondern wir vergehen;nicht die zeit sondern wir vergehen;train
abu1;al0015.mp3;al0015.mp3;0;166080;173;5.189999999999999;83174;nur nicht im sommer sterben wenn alles hell ist und die erde für sparten leicht;nur nicht im sommer sterben wenn es hell ist und die erde für spaten leicht;train
abu1;al0016.mp3;al0016.mp3;0;113280;118;3.539999999999992;56843;alles bleibt in seinem grund verhalten aber du;alles bleibt in seinem grundverhalten aber du;train
abu1;al0017.mp3;al0017.mp3;0;31680;33;0.9900000000000008;16301;tu was du wählst;tu was du willst;train
abu1;al0018.mp3;al0018.mp3;0;57600;60;1.8000000000000014;28840;käk sir;kekse;train
abu1;al0019.mp3;al0019.mp3;0;92160;96;2.879999999999996;46394;ras tafahrei;rastafari;train
abu1;al0020.mp3;al0020.mp3;0;31680;33;0.9900000000000008;16301;glaubst du an gott;glaubst du an gott;train
abu1;al0021.mp3;al0021.mp3;0;88320;92;2.7599999999999967;44304;die evolution geht weiter ob du es glaubst oder nicht;die evolution geht weiter ob du's glaubst oder nicht;train
abu1;al0022.mp3;al0022.mp3;0;50880;53;1.5900000000000012;25496;dam rahm;ram ram;train
abu1;al0023.mp3;al0023.mp3;0;96960;101;3.029999999999995;48902;omnama kiver;om na ma schiva;train
abu1;al0024.mp3;al0024.mp3;0;83520;87;2.6099999999999977;42214;wenn müsschen supma eine schmunfen sein;bin ein bißchen submanisch momentan;train
abu1;al0025.mp3;al0025.mp3;0;54720;57;1.7100000000000013;27586;in der ruhe liegt die graft;in der ruhe liegt die kraft;train
abu1;al0026.mp3;al0026.mp3;0;70080;73;2.1900000000000004;35109;ach nicht schon wieder in skape;ach nicht schon wieder ins carpe;train
abu1;al0027.mp3;al0027.mp3;0;43200;45;1.350000000000001;21734;cool;cool;train
abu1;al0028.mp3;al0028.mp3;0;31680;33;0.9900000000000008;16301;das ist ja scharf;das ist ja scharf;train
abu1;al0029.mp3;al0029.mp3;0;90240;94;2.8199999999999963;45140;und die margen san eschin;und die morgensonne schien;train
abu1;al0030.mp3;al0030.mp3;0;64320;67;2.0100000000000016;32601;na ja ich so;naja nich so;train
